dice coefficient: [0.8991007458331698, 0.0396920162316711]
hausdorff distance: [4.265912180892106, 2.429401832739153]

sensitivity: [0.7138917726518609, 0.16856768870326783]
specificity: [0.9851371532677098, 0.005597629299769265]
dice coefficient: [0.7516854275637651, 0.12838672521990915]
hausdorff distance: [10.728307821705169, 6.55006956319852]

sensitivity: [0.7470668225255802, 0.11903064656908342]
specificity: [0.9934009021293324, 0.002600092315092009]
dice coefficient: [0.8253250083552789, 0.07246638566611761]
hausdorff distance: [8.666656726600202, 4.035970909617096]

sensitivity: [0.9718650613813791, 0.036993877765276524]
specificity: [0.9971445973305617, 0.0016733039190422673]
dice coefficient: [0.9556980757481527, 0.016766612182463992]
hausdorff distance: [1.8592072916425717, 0.6403240690226774]

sensitivity: [0.7816898508821818, 0.13500529101379932]
specificity: [0.9858942252812662, 0.0055608791829258675]
dice coefficient: [0.819416061021668, 0.09313871848272515]
hausdorff distance: [8.556394804757499, 5.058468932900434]

sensitivity: [0.6045601093189316, 0.08745347405863674]
specificity: [0.9883416140338881, 0.0030191136828660427]
dice coefficient: [0.7182155415704694, 0.059252326425500726]
hausdorff distance: [13.940319044927035, 3.6607155392051363]

sensitivity: [0.8206147129171907, 0.11122223887994272]
specificity: [0.9936311211895361, 0.0012231740696466457]
dice coefficient: [0.870770764503564, 0.06708066617185235]
hausdorff distance: [8.219827865736203, 4.899091397834224]

sensitivity: [0.7203373918310728, 0.1712059038461629]
specificity: [0.9902564628241658, 0.005418713389737417]
dice coefficient: [0.7759259588655082, 0.13454037568144236]
hausdorff distance: [12.527458528272295, 9.380624507768715]

sensitivity: [0.4551586368954562, 0.20804552426204534]
specificity: [0.9661683670137929, 0.014474727450070602]
dice coefficient: [0.4872598918182491, 0.19830111410818693]
hausdorff distance: [22.22297069449688, 10.79843693217678]

sensitivity: [0.7079915415744179, 0.14267521165366984]
specificity: [0.9929543959624592, 0.003348906358690227]
dice coefficient: [0.7833860432456649, 0.09297212685953113]
hausdorff distance: [17.138809335732937, 9.539106241505387]

sensitivity: [0.6098127499198196, 0.23888825315316464]
specificity: [0.9866957050180344, 0.0032175962661003246]
dice coefficient: [0.6862625008456414, 0.17355292484349846]
hausdorff distance: [18.610875941836532, 11.451432079769333]

sensitivity: [0.770253401703036, 0.1272825404992599]
specificity: [0.9807456626068289, 0.010738117712921316]
dice coefficient: [0.7645094887633063, 0.12123243623355578]
hausdorff distance: [12.216285392507627, 7.26377114237534]

sensitivity: [0.8316700246924442, 0.09070344520891546]
specificity: [0.9981381448604357, 0.0017309906807450137]
dice coefficient: [0.8972110676824443, 0.05119577203810091]
hausdorff distance: [5.786442857687347, 2.598155574258864]

sensitivity: [0.7750515440834497, 0.11894545429314762]
specificity: [0.9917243036682825, 0.002065915681928711]
dice coefficient: [0.8163754329421977, 0.07648031826685098]
hausdorff distance: [8.328933952298728, 4.285112898346882]

sensitivity: [0.7259467518731311, 0.08506721207576971]
specificity: [0.9942072739959936, 0.0019604076772337486]
dice coefficient: [0.8009825998979286, 0.05894654583253476]
hausdorff distance: [11.18287211911461, 4.769001066002099]

sensitivity: [0.8394145525370301, 0.07926449454209707]
specificity: [0.9968430159712205, 0.001518255662494058]
dice coefficient: [0.8941588292747793, 0.041079223094293314]
hausdorff distance: [4.845529785899737, 2.4057239576944656]

sensitivity: [0.7113574017452247, 0.14011643215896716]
specificity: [0.9857645328834157, 0.008341167533329242]
dice coefficient: [0.7623781927483879, 0.12177902984030847]
hausdorff distance: [14.68225238199119, 9.521806463316052]

sensitivity: [0.6644874795686841, 0.2776351089734704]
specificity: [0.9791370639365404, 0.012078263054823886]
dice coefficient: [0.6843797847352369, 0.2380989558068534]
hausdorff distance: [14.115578919118398, 12.610198192130328]

sensitivity: [0.8049929352706634, 0.11991303792149002]
specificity: [0.9983758689185817, 0.0006350055510814864]
dice coefficient: [0.8760521091061588, 0.07203086579143697]
hausdorff distance: [5.635202814585181, 4.341023985016813]

sensitivity: [0.5493734465969912, 0.27341165716260235]
specificity: [0.9633947411347505, 0.02194580195011552]
dice coefficient: [0.5918109859011161, 0.24971937986646747]
hausdorff distance: [17.6763209051324, 11.914179756020943]

sensitivity: [0.6439447245277228, 0.25640226090383006]
specificity: [0.999169887604015, 0.0015379095399601504]
dice coefficient: [0.7433321262655844, 0.1899809792800021]
hausdorff distance: [6.806082448890896, 4.841890990673578]

sensitivity: [0.9131555428468803, 0.034480537357977806]
specificity: [0.9944205108094692, 0.002043605178217994]
dice coefficient: [0.9137482694633551, 0.026867233310561702]
hausdorff distance: [3.757026883861607, 0.8473973845100516]

sensitivity: [0.7585933667101016, 0.14155391539147238]
specificity: [0.9923559221513514, 0.00294730476385662]
dice coefficient: [0.8250901455031024, 0.09635140576333781]
hausdorff distance: [7.5954084243665, 4.439568770394527]

sensitivity: [0.6862917888025949, 0.22552490096499467]
specificity: [0.9884176541456512, 0.005986144224185892]
dice coefficient: [0.7532504283344738, 0.1888839072725952]
hausdorff distance: [11.169427366913734, 8.854973684992249]

sensitivity: [0.6801242845958098, 0.17872803146842453]
specificity: [0.9636661552350184, 0.013517737091283804]
dice coefficient: [0.7198556118381393, 0.1382099140909073]
hausdorff distance: [15.380962017613722, 7.869307937342649]

sensitivity: [0.8689591197583729, 0.08843567155484436]
specificity: [0.9919734220346659, 0.0031279173707376177]
dice coefficient: [0.8995311852076482, 0.05415153222111232]
hausdorff distance: [6.526007585111198, 3.1587800913861948]

sensitivity: [0.9248147135215011, 0.039961323608463425]
specificity: [0.9963557109235684, 0.0007389004783310389]
dice coefficient: [0.9403263229988135, 0.016694483307129963]
hausdorff distance: [3.765541369683144, 1.3858925619270739]

sensitivity: [0.8323744672934013, 0.04981124571411206]
specificity: [0.995833875006565, 0.0016755758562907463]
dice coefficient: [0.8858940720254094, 0.022968781080645026]
hausdorff distance: [5.925446760827627, 2.046724379245382]

sensitivity: [0.5170095672985279, 0.23715666955903222]
specificity: [0.9833964551518296, 0.006644906817914827]
dice coefficient: [0.6015040394600724, 0.20928591884349898]
hausdorff distance: [20.230355118086518, 13.088139610455613]

sensitivity: [0.47691137852503307, 0.19014585278511]
specificity: [0.9922363714501173, 0.003016121938592854]
dice coefficient: [0.5031218413198056, 0.1731242509566669]
hausdorff distance: [16.702587396593618, 6.624971013205928]

sensitivity: [0.8949464692897401, 0.0834432911168419]
specificity: [0.9922547609492376, 0.0031928243305305174]
dice coefficient: [0.9047984340433891, 0.03922390800249747]
hausdorff distance: [4.945737611950004, 1.942424466247376]

sensitivity: [0.9697960118670191, 0.0190981069219755]
specificity: [0.9967260479526271, 0.0008273046149698643]
dice coefficient: [0.9489867440831509, 0.01340315145500918]
hausdorff distance: [2.1023689270621824, 0.7616067847146634]

sensitivity: [0.49685906309233, 0.2293715666460259]
specificity: [0.9596422329877776, 0.021026986500502772]
dice coefficient: [0.5533385598969692, 0.2163334562911383]
hausdorff distance: [27.967851069023514, 18.423697780691416]

sensitivity: [0.6211542762780445, 0.22112522046521943]
specificity: [0.9928743515183824, 0.0017811580567356994]
dice coefficient: [0.6937970339647987, 0.1584088203147973]
hausdorff distance: [14.246283055960479, 7.625183216779344]

sensitivity: [0.6928669666362429, 0.15585756118857583]
specificity: [0.9653120045578143, 0.017085769981750164]
dice coefficient: [0.7111546437989891, 0.13811123063849637]
hausdorff distance: [17.7574844993076, 12.018253239282197]

sensitivity: [0.5735671405559928, 0.24912640575646075]
specificity: [0.9762299110268837, 0.007877213280494446]
dice coefficient: [0.6273610082747338, 0.20556357278130458]
hausdorff distance: [31.717814657070313, 21.36305767861276]

