specificity: [0.9953638334288222, 0.002117677535085008]
dice coefficient: [0.6835207674395962, 0.17018453783215595]
hausdorff distance: [12.193488382892863, 6.977500105548074]

sensitivity: [0.5535455172656412, 0.26544347560670084]
specificity: [0.9938734570409127, 0.003880697940007162]
dice coefficient: [0.6415742305852644, 0.21994162514440546]
hausdorff distance: [13.270382214326027, 9.201283744802467]

sensitivity: [0.6259898166963536, 0.2219610556717764]
specificity: [0.9934996955863712, 0.002367502401669488]
dice coefficient: [0.7182922995274118, 0.17075131218585213]
hausdorff distance: [12.35941144883235, 8.04020824596427]

sensitivity: [0.5994356521529121, 0.23017999944804154]
specificity: [0.9881209270218798, 0.0059714315892171665]
dice coefficient: [0.6758462281222436, 0.1925448216052354]
hausdorff distance: [17.48736870711291, 11.752670719237459]

sensitivity: [0.5366108250295252, 0.3416513891477646]
specificity: [0.9732203169306554, 0.013747163882867574]
dice coefficient: [0.5518859816952977, 0.3077077781447935]
hausdorff distance: [19.936482135453197, 16.011558743485555]

sensitivity: [0.703976882055401, 0.19756638053572342]
specificity: [0.9940684142829138, 0.0020769964497645834]
dice coefficient: [0.7752464433070064, 0.13709880394446566]
hausdorff distance: [13.19989295419219, 10.109211607796164]

sensitivity: [0.49579613340858447, 0.2969439529616874]
specificity: [0.9618357346269304, 0.016799936468660803]
dice coefficient: [0.5322131297535753, 0.2642636364877597]
hausdorff distance: [21.642934646371337, 13.12567635944522]

sensitivity: [0.5235758178650542, 0.21031190011011666]
specificity: [0.9983416480529808, 0.0016212978287881577]
dice coefficient: [0.6490309869808042, 0.17268335218276099]
hausdorff distance: [9.791488269580592, 4.460204494564386]

sensitivity: [0.687173461492268, 0.08587158140903259]
specificity: [0.9985275337425252, 0.0011164305856563236]
dice coefficient: [0.8006685507390602, 0.06233065472475234]
hausdorff distance: [9.837603392904214, 3.155137527470529]

sensitivity: [0.6139386347716381, 0.2597358686363257]
specificity: [0.993931557118613, 0.002466733485572544]
dice coefficient: [0.7048239854252736, 0.208468043193549]
hausdorff distance: [12.33852139929292, 8.83520739310576]

sensitivity: [0.5657708339099429, 0.28844128053548335]
specificity: [0.9875545837425221, 0.0063316476223523556]
dice coefficient: [0.6430956869032047, 0.24877857881745355]
hausdorff distance: [22.378940209504666, 16.48281029131305]

sensitivity: [0.4657007148723683, 0.23833153443226307]
specificity: [0.9819469673368982, 0.006736414348337849]
dice coefficient: [0.5689843234771123, 0.21173309351372602]
hausdorff distance: [23.168692941025128, 12.719211220479007]

sensitivity: [0.439528534978436, 0.31012737378177935]
specificity: [0.9831046427130465, 0.006702900237160368]
dice coefficient: [0.5131655712602654, 0.2848290886186398]
hausdorff distance: [29.068677439117913, 19.524650878838198]

sensitivity: [0.6502999000815044, 0.2418157609140053]
specificity: [0.9972530211631266, 0.000735339134045433]
dice coefficient: [0.7462855612525348, 0.18562780140150606]
hausdorff distance: [8.986330679703451, 6.187018203331381]

sensitivity: [0.6515768408896851, 0.21659104208805488]
specificity: [0.9941600752807507, 0.0018124666047023787]
dice coefficient: [0.7392903060206958, 0.15810938630971227]
hausdorff distance: [11.571420516006864, 7.5256601421449245]

sensitivity: [0.4191916177811404, 0.25400708303113245]
specificity: [0.9767790020171123, 0.008548173777769933]
dice coefficient: [0.4886718249151925, 0.2239414015148569]
