dice coefficient: [0.861031778133123, 0.06210266828669998]
hausdorff distance: [7.882162921552557, 3.5923308605187523]

sensitivity: [0.9789830922879763, 0.029691483416039697]
specificity: [0.9956525422208663, 0.0015855700457131803]
dice coefficient: [0.9464682100194808, 0.016451482402686294]
hausdorff distance: [2.443991766858799, 0.9452887972429767]

sensitivity: [0.9757181092229371, 0.021291328168373872]
specificity: [0.9927775225413483, 0.0027224611719161907]
dice coefficient: [0.9587162164916105, 0.009754439621880695]
hausdorff distance: [4.300730414382803, 3.737697763258739]

sensitivity: [0.8336454579573505, 0.09712998606725036]
specificity: [0.9912599762952112, 0.0019457221304042948]
dice coefficient: [0.8818233344614584, 0.05725356429842541]
hausdorff distance: [7.782154852395599, 4.286187021895914]

sensitivity: [0.7195355711043107, 0.19160807842067087]
specificity: [0.9867025461962808, 0.006135493270208828]
dice coefficient: [0.7732749096126028, 0.15030960668018348]
hausdorff distance: [11.575696826637163, 7.63347297397777]

sensitivity: [0.7251836197903337, 0.12242899892601544]
specificity: [0.9983745922613443, 0.0011848441024644401]
dice coefficient: [0.8257799643642002, 0.08414724099382606]
hausdorff distance: [7.011623784966165, 3.5360710633078902]

sensitivity: [0.6656127075779079, 0.15614771601913818]
specificity: [0.9845624328046547, 0.007458432905411638]
dice coefficient: [0.7176400134855124, 0.12875829557877805]
hausdorff distance: [12.02255969656075, 6.360664929284764]

sensitivity: [0.8002267556794577, 0.1661721415168005]
specificity: [0.9926384085219792, 0.0032807569298015705]
dice coefficient: [0.839770457895265, 0.10686631015653796]
hausdorff distance: [8.89988282424924, 6.278966399652628]

sensitivity: [0.8398754527702822, 0.11991951665840676]
specificity: [0.9863254148083006, 0.002673091244027119]
dice coefficient: [0.8587271147169135, 0.07291876546228561]
hausdorff distance: [6.518555600292819, 3.25193781498936]

sensitivity: [0.8052933040254728, 0.08272357672721649]
specificity: [0.9937057361136841, 0.001815054058669836]
dice coefficient: [0.8513467588757331, 0.054262883908878075]
hausdorff distance: [9.621815617048311, 4.588463529860353]

sensitivity: [0.8009901532572541, 0.09746565662945017]
specificity: [0.986510449972756, 0.012036275165872815]
dice coefficient: [0.8410407932790703, 0.09310364009703108]
hausdorff distance: [8.321492441295245, 5.883827854053241]

sensitivity: [0.7988306705032676, 0.11412008119742727]
specificity: [0.9948439266841583, 0.0017010045094442558]
dice coefficient: [0.8507105691742862, 0.07465676420177444]
hausdorff distance: [7.468012091828926, 4.864373415932445]

sensitivity: [0.7331318611267622, 0.15324783122101557]
specificity: [0.9952007432843271, 0.0020832305116516917]
dice coefficient: [0.8045402531427679, 0.0889633935947639]
hausdorff distance: [8.327340696235666, 3.6407961943532774]

sensitivity: [0.9044608250624094, 0.026773672590013762]
specificity: [0.9965063121587561, 0.001477266037001043]
dice coefficient: [0.9324675584777907, 0.01711915533839196]
hausdorff distance: [2.8997539605121307, 0.7244034109717775]

sensitivity: [0.8051286404246116, 0.1252544368464551]
specificity: [0.9871401943486393, 0.00984271300258112]
dice coefficient: [0.830183250132945, 0.10957441352396796]
hausdorff distance: [7.641380129805959, 5.684127876095563]

sensitivity: [0.7839289432285149, 0.1802483866752664]
specificity: [0.982720576364, 0.010727701970349293]
dice coefficient: [0.7900813110541454, 0.14009341506357018]
hausdorff distance: [29.150052195024106, 22.317581791658565]

sensitivity: [0.9362201292960436, 0.025492327351763912]
specificity: [0.9969933643954733, 0.0007840351904092182]
dice coefficient: [0.9469621437033311, 0.013269769487007968]
hausdorff distance: [2.6076462358501846, 0.8756984499946487]

sensitivity: [0.906906452686443, 0.08419241691744003]
specificity: [0.966611494778845, 0.019773638384441166]
dice coefficient: [0.8518877196627002, 0.08209718361459763]
hausdorff distance: [9.270377259068097, 6.03822038969704]

sensitivity: [0.40354311681090843, 0.3049987764993093]
specificity: [0.9990818953940256, 0.0010885068703856409]
dice coefficient: [0.5058286161901469, 0.27920485280436647]
hausdorff distance: [13.162458439334573, 8.159841981688333]

sensitivity: [0.8319043831112992, 0.08942139793472839]
specificity: [0.9966423489572531, 0.0021171160450918084]
dice coefficient: [0.880038250814998, 0.040779401895378646]
hausdorff distance: [6.702203190241974, 2.1634399452516155]

sensitivity: [0.8771522416383416, 0.06530675966305083]
specificity: [0.9954354397073645, 0.002550543694461645]
dice coefficient: [0.9130866085467516, 0.03197944266924501]
hausdorff distance: [4.441496459357326, 2.1694336898945927]

sensitivity: [0.7332908159122247, 0.15559592522331075]
specificity: [0.9769561351348928, 0.022368352829585793]
dice coefficient: [0.7706719909396379, 0.15565970860678624]
hausdorff distance: [11.890604879239648, 7.403615036305053]

