dice coefficient: [0.9504959193907818, 0.013909400894273748]
hausdorff distance: [2.0261040649506135, 0.6013060657080276]

sensitivity: [0.832528898476901, 0.15563296164731893]
specificity: [0.9166718083119608, 0.056789542345238135]
dice coefficient: [0.7236152916483518, 0.17891961461991682]
hausdorff distance: [18.055468050230175, 14.211500278077049]

sensitivity: [0.6945817240727259, 0.21827230213230447]
specificity: [0.9942602710407874, 0.002827460158855038]
dice coefficient: [0.7528928211615119, 0.15319011423321055]
hausdorff distance: [25.703462684473642, 27.52148262771959]

sensitivity: [0.8353658558943499, 0.1291000497859246]
specificity: [0.9555736043940919, 0.03194743954402886]
dice coefficient: [0.7848860300515859, 0.13984345536828444]
hausdorff distance: [14.451384313464505, 11.229017087790249]

sensitivity: [0.8306764336322136, 0.11677102036689169]
specificity: [0.990590434317056, 0.0023668664074522794]
dice coefficient: [0.8663412713849449, 0.06380939267827213]
hausdorff distance: [13.31724620173539, 8.149700624503398]

sensitivity: [0.6020453562166173, 0.1464089133360742]
specificity: [0.9871629340070718, 0.002918831831358068]
dice coefficient: [0.710399534435039, 0.11226508638533428]
hausdorff distance: [16.324544257260705, 7.883057029228566]

sensitivity: [0.7782617377686498, 0.14149315001676463]
specificity: [0.9826136006433618, 0.009173093304466546]
dice coefficient: [0.8163969057574321, 0.1062425014695015]
hausdorff distance: [10.07391975447642, 5.527157869439152]

sensitivity: [0.7861699478527363, 0.10860405112941085]
specificity: [0.9965944930116049, 0.0010589985316567334]
dice coefficient: [0.864969725564712, 0.06687098951587651]
hausdorff distance: [9.176833682853976, 4.2605621957557895]

sensitivity: [0.918183637053938, 0.03788531422264985]
specificity: [0.9985364633627322, 0.0006054396044164048]
dice coefficient: [0.9481631156185029, 0.017680910729512618]
hausdorff distance: [3.587311315733569, 2.128660969720141]

