dice coefficient: [0.8679778441919788, 0.061936813819277764]
hausdorff distance: [7.7042407221053475, 3.9595464676130523]

sensitivity: [0.9334794174358322, 0.05273995242367377]
specificity: [0.995812816557809, 0.003896876381801286]
dice coefficient: [0.9470081975884265, 0.03954003261013899]
hausdorff distance: [4.007807264212534, 3.0774688083323567]

sensitivity: [0.9021567561339843, 0.044021010694716284]
specificity: [0.9990346547461582, 0.001171410338943027]
dice coefficient: [0.9348629930892417, 0.027181035877260416]
hausdorff distance: [2.432797160153321, 1.2442526448501536]

sensitivity: [0.7504494460900112, 0.13221305956973997]
specificity: [0.9890351326974367, 0.003923778912794743]
dice coefficient: [0.8088979803103968, 0.09381358177234272]
hausdorff distance: [11.245448344852422, 7.3896250371668115]

sensitivity: [0.805185856832799, 0.12754474821325013]
specificity: [0.9736928575075681, 0.020249158714845637]
dice coefficient: [0.8042683205897152, 0.13109425747142725]
hausdorff distance: [10.359266479134734, 7.708367618867745]

sensitivity: [0.6894686742058586, 0.23875270589858585]
specificity: [0.9508523729184659, 0.039984610493341385]
dice coefficient: [0.6814241930410708, 0.23828924435434023]
hausdorff distance: [14.34321865654281, 10.744242422677782]

sensitivity: [0.6670811572224464, 0.19868851600745074]
specificity: [0.965523035793446, 0.02774384276021398]
dice coefficient: [0.701448661688414, 0.19563551249440694]
hausdorff distance: [15.9866748853293, 11.96075078931564]

sensitivity: [0.7365890313710463, 0.18118363003798585]
specificity: [0.9712770506808432, 0.009801825528616715]
dice coefficient: [0.7561522245458909, 0.134590591767459]
hausdorff distance: [15.160735916290864, 9.53338448872286]

sensitivity: [0.9860957347504746, 0.024649331844946182]
specificity: [0.9952667436145014, 0.0018892542642592082]
dice coefficient: [0.9298593683412689, 0.030855212610209414]
hausdorff distance: [2.2823244435114485, 0.7467675684018581]

sensitivity: [0.9271396024795984, 0.05996504680170502]
specificity: [0.992198237395088, 0.001595950820145059]
dice coefficient: [0.9252021497344455, 0.03238046767752362]
hausdorff distance: [4.710621252563627, 2.498675798944158]

sensitivity: [0.9404479805004176, 0.04820177122553036]
specificity: [0.9972372484042024, 0.002296746744567927]
dice coefficient: [0.9558674387760866, 0.0216232987610852]
hausdorff distance: [3.0308148383696465, 1.270496523221678]

sensitivity: [0.8369672130326026, 0.06486974223920398]
specificity: [0.9928371576055973, 0.005547282850105345]
dice coefficient: [0.8597979945427277, 0.07225799289401129]
hausdorff distance: [6.813672232626568, 4.2198582961596]

