hausdorff distance: [8.136755716841058, 5.201910521252842]

sensitivity: [0.8479275128284011, 0.08963756690007554]
specificity: [0.9923063860647849, 0.0019265014856194745]
dice coefficient: [0.8649760549013586, 0.05018079974002623]
hausdorff distance: [8.138994666782246, 5.249453858649504]

sensitivity: [0.8405257363147226, 0.05996463494915653]
specificity: [0.9976248799709576, 0.0015540273986718789]
dice coefficient: [0.8996231694689845, 0.02806832303255262]
hausdorff distance: [4.977737272110768, 2.1576526558212725]

sensitivity: [0.6985809677505285, 0.1891439854773757]
specificity: [0.9845956427210952, 0.008297448538721162]
dice coefficient: [0.7427436790794449, 0.15618618948717786]
hausdorff distance: [13.436912688738712, 8.699581066266694]

sensitivity: [0.6589558257088787, 0.25715747655284277]
specificity: [0.9791483741739725, 0.013989788589165938]
dice coefficient: [0.6850273479576228, 0.23596292540190505]
hausdorff distance: [14.251351196902572, 11.644697894859425]

sensitivity: [0.8907703011933851, 0.07466746741099492]
specificity: [0.9977147185586736, 0.0012985257812200746]
dice coefficient: [0.9245887744478336, 0.03529870844555911]
hausdorff distance: [4.789122215423524, 3.3809725039407725]

sensitivity: [0.5611687473699816, 0.25217473891000375]
specificity: [0.9391638015139683, 0.032932108812577895]
dice coefficient: [0.5618066513508227, 0.23561027381534436]
hausdorff distance: [18.489785647905112, 11.165176220188178]

sensitivity: [0.6857713501399025, 0.15046918267664472]
specificity: [0.9983421610214372, 0.001646543874691251]
dice coefficient: [0.7886493575306872, 0.08830724632218966]
hausdorff distance: [8.268454653286174, 3.915693763121705]

sensitivity: [0.8462635085333865, 0.035785062742986734]
specificity: [0.9963045330830549, 0.0015420215232634414]
dice coefficient: [0.8898375622905988, 0.02528967374618433]
hausdorff distance: [6.963848174584482, 1.0823517302628918]

sensitivity: [0.780600568870202, 0.14692846528600573]
specificity: [0.9887849333168203, 0.004444061849643188]
dice coefficient: [0.8254749234851917, 0.1018321527884338]
hausdorff distance: [9.222849221592135, 5.978214803415597]

sensitivity: [0.7836961212953535, 0.12004181202215537]
specificity: [0.994514738442502, 0.0017333219417481965]
dice coefficient: [0.8529843935149142, 0.07872085498642983]
hausdorff distance: [9.143247886073246, 5.026697201988977]

sensitivity: [0.6980866456222743, 0.16003375934001932]
specificity: [0.9613600647189567, 0.015770782790404572]
dice coefficient: [0.7307280701383518, 0.12668912878705854]
hausdorff distance: [13.300245288905028, 7.236721766216125]

sensitivity: [0.6192922555016397, 0.11901972294060047]
specificity: [0.9957170912352378, 0.0029241726886711705]
dice coefficient: [0.7429994829885379, 0.07999796914733924]
hausdorff distance: [12.893185178524321, 4.004053273739926]

sensitivity: [0.9284483988296286, 0.03274161389924675]
specificity: [0.9952123215154884, 0.000967525317090135]
dice coefficient: [0.9369375313721435, 0.015856431342818823]
hausdorff distance: [3.4758127032568504, 1.1627808844368066]

sensitivity: [0.8599535312055739, 0.05812011857787913]
specificity: [0.9957542595815505, 0.0015303032322989314]
dice coefficient: [0.9015812162703775, 0.02823387183949804]
hausdorff distance: [5.061009746182738, 1.8035650849664386]

sensitivity: [0.8912573960352137, 0.03875520611844779]
specificity: [0.9745311749370403, 0.018805396006359488]
dice coefficient: [0.8566538856654954, 0.06126603567609444]
hausdorff distance: [7.898784555093793, 4.554397422881]

sensitivity: [0.5582004288844079, 0.1664339885390351]
specificity: [0.9837860123047231, 0.007844386915845436]
dice coefficient: [0.48452614040152814, 0.1821560523907541]
hausdorff distance: [14.751151989543166, 5.862608774945104]

sensitivity: [0.833182354209585, 0.10526053989240179]
specificity: [0.9910671830060677, 0.004098961741695038]
dice coefficient: [0.8623770943705487, 0.049812862602724245]
hausdorff distance: [7.324842640022831, 3.972406529074877]

sensitivity: [0.8558530679482508, 0.09245413492244227]
specificity: [0.9975838457884859, 0.0007095242166913816]
dice coefficient: [0.8930801309378696, 0.05145509129237355]
hausdorff distance: [6.90565706154921, 3.9130423647432604]

sensitivity: [0.7039496004730375, 0.13540155083820715]
specificity: [0.9582430452367549, 0.028962940705509362]
dice coefficient: [0.7199646128530147, 0.13638976952670245]
hausdorff distance: [18.47202252151369, 12.364642492393017]

sensitivity: [0.7271404568239621, 0.09746873055282933]
specificity: [0.9826089940629056, 0.007693255397729318]
dice coefficient: [0.7277611106125179, 0.09216707155249818]
hausdorff distance: [19.534900061596424, 10.786767182530028]

sensitivity: [0.6818970498736735, 0.1915071427260192]
specificity: [0.9653519285346222, 0.01985735936737057]
dice coefficient: [0.702200088653499, 0.17218761913669006]
hausdorff distance: [13.87264598318785, 9.305000094490882]

sensitivity: [0.6652841763266081, 0.19606196918357457]
specificity: [0.9525352640007833, 0.03151014733414012]
dice coefficient: [0.6597599681461391, 0.1993028667413089]
hausdorff distance: [19.641438880741262, 13.455378553851203]

sensitivity: [0.6125522710079618, 0.1823772982124316]
specificity: [0.9744448630516447, 0.00873457895044205]
dice coefficient: [0.689359774910989, 0.1431002759466721]
hausdorff distance: [15.827137480253386, 8.708332361278577]

sensitivity: [0.7667406478438219, 0.1407752540473266]
specificity: [0.9802775635695696, 0.011997747533133431]
dice coefficient: [0.8042463171501748, 0.11536586477406677]
hausdorff distance: [14.697586282542416, 9.699533878863509]

sensitivity: [0.8237524691488733, 0.09444270613348298]
specificity: [0.9924249037468434, 0.0028636748100660217]
dice coefficient: [0.8763752509868149, 0.06200469986324012]
hausdorff distance: [8.63730237051755, 5.147524430272471]

sensitivity: [0.8458877469301528, 0.09065675803056567]
specificity: [0.9980011928188433, 0.0010167817874717766]
dice coefficient: [0.9019580337010497, 0.04970923671103853]
hausdorff distance: [5.053416117961938, 3.213977629883127]

