sensitivity: [0.9657812606300994, 0.016325261509706205]
specificity: [0.9950761771743634, 0.003090392332527971]
dice coefficient: [0.9533029331393874, 0.016270874839022845]
hausdorff distance: [2.7026513045021017, 1.0781199343949424]

sensitivity: [0.10966108248804683, 0.1870434392237149]
specificity: [0.9951266055323293, 0.005198065321886925]
dice coefficient: [0.1495222980681181, 0.20869396538554405]
hausdorff distance: [82.49207440171602, 34.35820473089829]

sensitivity: [0.48592600059402147, 0.33694299561845287]
specificity: [0.979036726719943, 0.01201681969820097]
dice coefficient: [0.5252646411060352, 0.32558899567791205]
hausdorff distance: [14.313015528630153, 9.068494168118107]

sensitivity: [0.13904437489679386, 0.2630044763333928]
specificity: [0.997666195352686, 0.004491803892303565]
dice coefficient: [0.16691890537953968, 0.2841899690241252]
hausdorff distance: [74.59576088744048, 43.624982799887405]

sensitivity: [0.16280436085981354, 0.22619275906809266]
specificity: [0.9977865719553567, 0.003683625326124912]
dice coefficient: [0.22227668646811274, 0.2570136785955962]
hausdorff distance: [69.53122885797828, 37.54674704284581]

sensitivity: [0.7770907167475992, 0.105629679876444]
specificity: [0.9920495151577876, 0.005274706388392472]
dice coefficient: [0.8407149985319372, 0.07993690499215755]
hausdorff distance: [9.147665884771751, 5.545587632876825]

sensitivity: [0.3852977249960528, 0.3169058964507049]
specificity: [0.9807013551427322, 0.011607923352133285]
dice coefficient: [0.4333849971177296, 0.3337934065709822]
hausdorff distance: [19.684249773957188, 11.288503480819168]

sensitivity: [0.3777567749710881, 0.31718115011235826]
specificity: [0.983823147978749, 0.010148818249030236]
dice coefficient: [0.42443338181095913, 0.3360586833017895]
hausdorff distance: [24.14953265051755, 17.72192820852893]

sensitivity: [0.9533474415554631, 0.026191113490912448]
specificity: [0.9906092889660355, 0.0058600452207078005]
dice coefficient: [0.9317919855107336, 0.03838905984602432]
hausdorff distance: [3.7709697645098244, 1.7644036863728343]

sensitivity: [0.941340181135475, 0.03705251011749491]
specificity: [0.9853857661001733, 0.009403744884580682]
dice coefficient: [0.9007785407219292, 0.05335128648882856]
hausdorff distance: [5.8465532205218675, 3.3986980997050487]

sensitivity: [0.5047347975076387, 0.33122675756399705]
specificity: [0.9874667536749495, 0.015437760495131065]
dice coefficient: [0.572115679145016, 0.28667103757646173]
hausdorff distance: [42.79470047409708, 36.27276680007077]

sensitivity: [0.9302631808034183, 0.03610496985995377]
specificity: [0.9950666002560257, 0.0033221596390315185]
dice coefficient: [0.9326638490161796, 0.037124756532051946]
hausdorff distance: [2.4761240877644, 1.3173747259833033]

sensitivity: [0.24558453396660654, 0.2796350532193775]
specificity: [0.9910813099729547, 0.008731824896345578]
dice coefficient: [0.3146063041951908, 0.2995308994906145]
hausdorff distance: [56.88938210289785, 28.623011291250585]

sensitivity: [0.5021547547977698, 0.21483307310224362]
specificity: [0.9986735572267905, 0.0012055893090601817]
dice coefficient: [0.6301518018207367, 0.1933405335366486]
hausdorff distance: [11.510232746106624, 5.855015695719479]

sensitivity: [0.636177114328388, 0.17873692281036938]
specificity: [0.9909713000425111, 0.005339579508519678]
dice coefficient: [0.7100172733953485, 0.15590759124858614]
hausdorff distance: [11.656701374072771, 5.996219342971311]

sensitivity: [0.5664463864087435, 0.27909121772775075]
specificity: [0.9767347289994692, 0.017566848687615513]
dice coefficient: [0.6235532887218967, 0.25870138262905085]
hausdorff distance: [13.3720479996123, 8.853718557536414]

sensitivity: [0.693301624959203, 0.1781502139046187]
specificity: [0.9893306304356138, 0.005909796032562607]
dice coefficient: [0.7686508337957622, 0.1354146122197023]
hausdorff distance: [10.56993245144611, 6.849077405402843]

sensitivity: [0.6507194813702755, 0.1744434274631117]
specificity: [0.9786745536640443, 0.012734553088858345]
dice coefficient: [0.7299483764772814, 0.14748431246134497]
hausdorff distance: [14.576690040594023, 7.26086134425159]

sensitivity: [0.5652127830679731, 0.16030703206399963]
specificity: [0.9939851640373429, 0.0041579879767960366]
dice coefficient: [0.6910211309222664, 0.12786865726026778]
hausdorff distance: [17.67112771045796, 7.480947718973723]

sensitivity: [0.6472684894341395, 0.11647563074572735]
specificity: [0.9971975944528303, 0.0019927431318902717]
dice coefficient: [0.7653327434114238, 0.07964839591157241]
hausdorff distance: [8.886898820178324, 3.7713431771602366]

sensitivity: [0.9581435058708389, 0.0339651867046632]
specificity: [0.9902790400751497, 0.007164092822401118]
dice coefficient: [0.9289259638780727, 0.030806675663054745]
hausdorff distance: [4.510434393822995, 2.350031541423487]

sensitivity: [0.6853162407442354, 0.18080809847498636]
specificity: [0.9602664948213234, 0.02011282659597386]
dice coefficient: [0.682506352618278, 0.16291030912241877]
hausdorff distance: [18.563084083523684, 10.814122370371205]
