dice coefficient: [0.6736778711087827, 0.2130048318101612]
hausdorff distance: [12.772133662883977, 7.731274260911063]

sensitivity: [0.9899194659815798, 0.005348622342867734]
specificity: [0.9956992859642206, 0.002012937811105536]
dice coefficient: [0.9640265746818956, 0.012611869792688036]
hausdorff distance: [2.4047225288724285, 1.0250087279953888]

sensitivity: [0.6926911256599761, 0.1841378276472356]
specificity: [0.9938792366262513, 0.005217872271918003]
dice coefficient: [0.7840689121882389, 0.13708682279915144]
hausdorff distance: [8.782145135915824, 5.3141879415745805]

sensitivity: [0.8702405516669066, 0.09692026603653364]
specificity: [0.9956395138604819, 0.0029415030523415385]
dice coefficient: [0.9131540250205468, 0.05758038623781674]
hausdorff distance: [4.863210446404485, 2.5721296274972114]

sensitivity: [0.2311908124866675, 0.2891671314813575]
specificity: [0.9367111608271125, 0.04091903706489431]
dice coefficient: [0.2466483918586963, 0.3063647848563864]
hausdorff distance: [32.867823588321684, 11.9654853321389]

sensitivity: [0.5822490573539125, 0.2145671875276941]
specificity: [0.9976833497835541, 0.0016737040174349255]
dice coefficient: [0.6884723385422934, 0.1780594528451375]
hausdorff distance: [11.272072532790443, 5.848679122859955]

sensitivity: [0.9264231672115899, 0.033502816976171745]
specificity: [0.9949094888204311, 0.0026211309030630936]
dice coefficient: [0.9396320093805822, 0.021098373383886572]
hausdorff distance: [3.8540131146554892, 1.5318560350318484]

sensitivity: [0.8927924909885784, 0.061164601099603665]
specificity: [0.9921831466158955, 0.006715837834148018]
dice coefficient: [0.914257297171682, 0.05544801773906622]
hausdorff distance: [6.548579857632743, 4.70277597257266]

sensitivity: [0.6168649244765066, 0.21736159244951647]
specificity: [0.9744429922944025, 0.016270023438283508]
dice coefficient: [0.6747570388241579, 0.1953279973807753]
hausdorff distance: [18.59315387848182, 11.124805414826955]

sensitivity: [0.9194004609621226, 0.06327607349679226]
specificity: [0.9964480440784486, 0.001288502118632681]
dice coefficient: [0.944207716176537, 0.0356220486400775]
hausdorff distance: [3.1989515782969318, 1.9832739262084405]

sensitivity: [0.5164162370877837, 0.24898504784765968]
specificity: [0.9748315421481293, 0.01406148904473145]
dice coefficient: [0.5925558513687, 0.2279828396181603]
hausdorff distance: [17.02976297593454, 9.996024525621296]

sensitivity: [0.9147088909535742, 0.0667369859839267]
specificity: [0.9981754937174487, 0.0012005728193916448]
dice coefficient: [0.9274685797261396, 0.045050660133996306]
hausdorff distance: [2.913642005564638, 1.7918399100950044]

sensitivity: [0.8967264442843139, 0.057795826078508056]
specificity: [0.9942333122141892, 0.004406518200680317]
dice coefficient: [0.9189536898644447, 0.04661652404183858]
hausdorff distance: [5.400654426094035, 2.7506844790423046]

sensitivity: [0.6658639109749773, 0.18174295059936288]
specificity: [0.997485080009108, 0.001288229285002142]
dice coefficient: [0.775621755286991, 0.13078328104563375]
hausdorff distance: [14.811999547382467, 7.239106948259682]

sensitivity: [0.5393226722058377, 0.2642830412232913]
specificity: [0.993855809876008, 0.006202793354813751]
dice coefficient: [0.6296477498929028, 0.2228205670531993]
hausdorff distance: [19.353341813911236, 11.827150712122014]

sensitivity: [0.1287243668278647, 0.2785828836771642]
specificity: [0.9986561103701262, 0.0025564340515012557]
dice coefficient: [0.1445176554512685, 0.2992248336380732]
hausdorff distance: [15.987552131916573, 11.599182469989294]

sensitivity: [0.794651092237481, 0.11322017321276634]
specificity: [0.9929033459869651, 0.0035807166317215876]
dice coefficient: [0.8567257927655587, 0.0800768805926131]
hausdorff distance: [8.88296916518746, 5.396868735077971]

sensitivity: [0.15725664090805788, 0.28575368173949206]
specificity: [0.9975692450815663, 0.003350590416654385]
dice coefficient: [0.18643908891140062, 0.31693513111893673]
hausdorff distance: [22.781539585728765, 13.81354241691367]

sensitivity: [0.7265676177542556, 0.18897173014341517]
specificity: [0.9959235154768583, 0.0027887247860874835]
dice coefficient: [0.8120710857702843, 0.13101297936148085]
hausdorff distance: [10.387951847483302, 6.441308594871716]

sensitivity: [0.5312818836474953, 0.21586481814685338]
specificity: [0.9904478581439667, 0.006486155625734034]
dice coefficient: [0.6472222527744679, 0.1757319190387224]
hausdorff distance: [16.03788455728109, 7.777291233284557]

sensitivity: [0.7173860468200064, 0.15869855603707847]
specificity: [0.9966753674830985, 0.0021336390603215664]
dice coefficient: [0.8119730453506205, 0.10871366435327418]
hausdorff distance: [9.7827318445929, 5.83650788772316]

sensitivity: [0.6221556067529845, 0.20678447416223358]
specificity: [0.993718929429807, 0.005627964041492393]
dice coefficient: [0.7147289128475117, 0.16116828267856487]
hausdorff distance: [12.547066120317828, 6.748170006678787]

sensitivity: [0.1982713592885722, 0.30117934746291203]
specificity: [0.9963866901994204, 0.003391862233418395]
dice coefficient: [0.2353751310110124, 0.327658091332794]
hausdorff distance: [33.719994305390934, 32.97896274967427]

sensitivity: [0.5022375578276973, 0.1602466180985976]
specificity: [0.9952653011488225, 0.004188323061716126]
dice coefficient: [0.6335730812506012, 0.13356243010043406]
hausdorff distance: [38.646711783438406, 13.214827593572428]

sensitivity: [0.16859484381376952, 0.27628194561060787]
specificity: [0.9855236900170714, 0.007831968306667738]
dice coefficient: [0.19882442139290007, 0.29887872983186636]
hausdorff distance: [65.5720145800258, 43.40941799406612]

sensitivity: [0.17524185300256592, 0.3071789321575551]
specificity: [0.9740535410773143, 0.012364244205538536]
dice coefficient: [0.19331808991965652, 0.32802640114941783]
hausdorff distance: [25.073796619827668, 11.93613797399247]

sensitivity: [0.9607146308636463, 0.016135821473108627]
specificity: [0.9949206498605722, 0.004646729804768639]
dice coefficient: [0.9594812346379522, 0.024559881431686637]
hausdorff distance: [3.3538545582438064, 2.1490291456408652]

sensitivity: [0.2813886974927056, 0.36592776732398663]
specificity: [0.9916177868616852, 0.007787919824984444]
dice coefficient: [0.3035150968381396, 0.36931371764449084]
hausdorff distance: [24.7103355621385, 18.626351845521977]

sensitivity: [0.2184805907226309, 0.33735737451114045]
specificity: [0.9846231078309772, 0.011867354451415154]
dice coefficient: [0.23734690894082788, 0.35401297107363466]
hausdorff distance: [32.430884062249696, 19.95775120135013]

sensitivity: [0.9498092979749843, 0.01675209638857016]
specificity: [0.9941468993793131, 0.002467157025277506]
dice coefficient: [0.9459615523502103, 0.017465159564251515]
hausdorff distance: [3.968552904331364, 2.2694906577298584]

