dice coefficient: [0.41343324527327296, 0.2651272214835865]
hausdorff distance: [43.83723945794682, 31.673276380990803]

sensitivity: [0.8884971922622582, 0.13713904150153652]
specificity: [0.9878680609623667, 0.005476684230942657]
dice coefficient: [0.8952275481715102, 0.07942905663886841]
hausdorff distance: [7.181928959136996, 8.337859223200484]

sensitivity: [0.7344715860807817, 0.12579769032718435]
specificity: [0.9873198623469788, 0.005410561292635459]
dice coefficient: [0.789543623321751, 0.09289154319845373]
hausdorff distance: [13.111535865706992, 6.469489462774159]

sensitivity: [0.18082767774643485, 0.23072250059363175]
specificity: [0.9942458211380863, 0.0031781493676367994]
dice coefficient: [0.23772898455617894, 0.25898101109647725]
hausdorff distance: [24.87580150650588, 9.378761436116514]

sensitivity: [0.5837614144192134, 0.16413953823697494]
specificity: [0.9567480403233328, 0.023336664920419997]
dice coefficient: [0.6030280072614069, 0.16953900737397004]
hausdorff distance: [17.19676605123918, 7.090221250352319]

sensitivity: [0.4181441058896092, 0.14787427054255023]
specificity: [0.9720222343563633, 0.011400078992619094]
dice coefficient: [0.503194662592314, 0.13490010072572542]
hausdorff distance: [31.127065431737083, 13.334384035581033]

sensitivity: [0.6017930616565554, 0.14257101346726864]
specificity: [0.9745671828872733, 0.012318311724274682]
dice coefficient: [0.6658717817071017, 0.13780670279526896]
hausdorff distance: [32.764673605802024, 20.89201195445906]

sensitivity: [0.7793986716624727, 0.18188941038873457]
specificity: [0.9774047769732085, 0.01365308835168685]
dice coefficient: [0.7924268866091152, 0.14589124768182166]
hausdorff distance: [11.46914695238673, 7.693633830505031]

sensitivity: [0.5184280952519087, 0.21274321344462432]
specificity: [0.9532313232649919, 0.017959938695341692]
dice coefficient: [0.5571543559606974, 0.18852835081012778]
hausdorff distance: [15.733268997653527, 6.5775562823494305]

sensitivity: [0.8205050439871382, 0.17868645539478245]
specificity: [0.9983964980152795, 0.0017119849225506038]
dice coefficient: [0.868615251147079, 0.13403971836697806]
hausdorff distance: [4.351681241534564, 4.057446287022933]

sensitivity: [0.21843688278815823, 0.22778347320776113]
specificity: [0.9851016444975421, 0.008172632317096534]
dice coefficient: [0.2822793005319876, 0.24269789410991516]
hausdorff distance: [24.118941937355824, 9.55213622647442]

sensitivity: [0.5850391000477281, 0.31743484420306894]
specificity: [0.9971038342214965, 0.002866233302601074]
dice coefficient: [0.6625687732543045, 0.31990397507456025]
hausdorff distance: [12.74853858550867, 10.25443003595851]

sensitivity: [0.12687614867264008, 0.2300409410140047]
specificity: [0.9972492844466773, 0.004571916831794274]
dice coefficient: [0.16395551963180088, 0.25440654516441175]
hausdorff distance: [24.858764921386317, 14.078341568526291]

sensitivity: [0.17189663109741057, 0.21495457284822175]
specificity: [0.9964281434214347, 0.004481489688636793]
dice coefficient: [0.2359977698169603, 0.24274550137066964]
hausdorff distance: [50.979309405354265, 21.37344844117215]

sensitivity: [0.7400469123962862, 0.1545357996712603]
specificity: [0.9834291359194317, 0.009496679293884513]
dice coefficient: [0.7890264457039354, 0.12277657649286038]
hausdorff distance: [11.816413376507947, 7.0832460719280395]

sensitivity: [0.362461689034524, 0.280123030287505]
specificity: [0.9981804935865309, 0.001604123640288299]
dice coefficient: [0.4543812556450094, 0.30205724892564617]
hausdorff distance: [14.90440483608394, 8.113056110066085]

sensitivity: [0.437642631937639, 0.2022982483548232]
specificity: [0.9843768277142214, 0.010316524015582345]
dice coefficient: [0.5440747690692587, 0.18680941525116918]
hausdorff distance: [25.614586290221844, 12.930312029521142]

sensitivity: [0.40058925938574325, 0.1906571918558359]
specificity: [0.9724310435058335, 0.015679265026948788]
dice coefficient: [0.49861948964213354, 0.1820919378481353]
hausdorff distance: [22.93154763453172, 7.819470767590534]

sensitivity: [0.17331248425198736, 0.3025218119418655]
specificity: [0.9974795466472977, 0.003776198634249581]
dice coefficient: [0.20313867039495878, 0.3274297753316978]
hausdorff distance: [36.189950872867065, 20.724333092653616]

sensitivity: [0.6421681319089713, 0.1601187011959368]
specificity: [0.9749200945188807, 0.014426122044320297]
dice coefficient: [0.6620596369529416, 0.1611084266415317]
hausdorff distance: [11.857189929679832, 5.289018211177366]

sensitivity: [0.4274370151919426, 0.16438717889211799]
specificity: [0.9897110733032497, 0.007374343557876646]
dice coefficient: [0.5382345441031712, 0.1541314101883398]
hausdorff distance: [51.1384291987973, 25.580481994669203]

sensitivity: [0.5571497550180999, 0.2463456460614776]
specificity: [0.9758315745327727, 0.010879091884008258]
dice coefficient: [0.5931851590137284, 0.2187709033279816]
hausdorff distance: [12.706926974431479, 6.223665067021659]

sensitivity: [0.3009972833933748, 0.3026497547074426]
specificity: [0.9493192166657012, 0.020792826407974082]
dice coefficient: [0.3231074797236689, 0.3062146182600566]
hausdorff distance: [36.528816843707524, 27.79170511739435]

sensitivity: [0.9174780655834638, 0.08976874450658594]
specificity: [0.9875114465840044, 0.008122522244088281]
dice coefficient: [0.879585706594603, 0.06206517119047594]
hausdorff distance: [6.383533298664014, 4.360867951625502]

sensitivity: [0.6243655827331405, 0.1808254935010188]
specificity: [0.9308531491897458, 0.05627052634699407]
dice coefficient: [0.5997495979275846, 0.2174274976450508]
hausdorff distance: [35.52012513185894, 26.249203999685065]

sensitivity: [0.28559438623195343, 0.34914619472938185]
specificity: [0.9581334604773939, 0.02644060353433527]
dice coefficient: [0.29808902523369324, 0.36087747760453726]
hausdorff distance: [37.76526034192922, 32.449218449339796]

sensitivity: [0.35351095114414693, 0.3248796617182019]
specificity: [0.9668899097887956, 0.017330661439872674]
dice coefficient: [0.3713509578102646, 0.33071051744330876]
hausdorff distance: [20.126442291727656, 11.215747293177701]

sensitivity: [0.9736391049718288, 0.03576562990069738]
specificity: [0.9791268920022643, 0.009516974830895645]
dice coefficient: [0.890846441503358, 0.03764514772672468]
hausdorff distance: [12.973545617974843, 2.6684166525599213]

sensitivity: [0.9801696078693596, 0.015134402742034639]
specificity: [0.981599298400742, 0.014108653561461756]
dice coefficient: [0.9032687236497975, 0.057693752674144005]
hausdorff distance: [4.465337289989639, 2.3862305462719458]

sensitivity: [0.8094827386907291, 0.12928596054028219]
specificity: [0.9907698686324663, 0.004366258140686764]
dice coefficient: [0.8426449786300905, 0.086806745827411]
hausdorff distance: [8.77314481776785, 5.44658272128556]

sensitivity: [0.9693882413217393, 0.032903440061341126]
specificity: [0.971328652508841, 0.015258401472968676]
dice coefficient: [0.8273473184394237, 0.0786101640461587]
hausdorff distance: [8.316162526913198, 2.346935766618117]

sensitivity: [0.38962379802166175, 0.36791062244569134]
specificity: [0.9922523722033834, 0.008170396694144598]
dice coefficient: [0.43662617706935186, 0.36250492213716395]
hausdorff distance: [41.073906611455506, 36.537764980188726]

sensitivity: [0.6610593937331471, 0.1665024831371361]
specificity: [0.9823774717643936, 0.010798638362528855]
