sensitivity: [0.5459054675470638, 0.30570568382293445]
specificity: [0.9954146523966291, 0.003127634592993492]
dice coefficient: [0.6376662091492098, 0.27501313388431237]
hausdorff distance: [14.638853837109561, 10.625627432568049]

sensitivity: [0.8528189479386123, 0.07691966682387356]
specificity: [0.9914242019861109, 0.0022698713196325888]
dice coefficient: [0.8945645988912335, 0.04488204852488883]
hausdorff distance: [5.855317233071476, 3.1541390954473636]

sensitivity: [0.5939192688980104, 0.2352058210975246]
specificity: [0.9918752795442963, 0.003582071067716715]
dice coefficient: [0.6879086275661689, 0.1858768835208361]
hausdorff distance: [16.31333350446267, 12.919306610863803]

sensitivity: [0.9803794569607243, 0.011651361255919297]
specificity: [0.9875877314866768, 0.009061453888382203]
dice coefficient: [0.9230573285723035, 0.042629676193904904]
hausdorff distance: [4.2379454292903445, 2.583244446754974]

sensitivity: [0.36155357178929604, 0.3059278138728188]
specificity: [0.9736271866110034, 0.01304216579584325]
dice coefficient: [0.40474294435939095, 0.292477041833521]
hausdorff distance: [18.035377012747723, 9.296514185868336]

sensitivity: [0.45745682439299146, 0.26116934028945576]
specificity: [0.9969535577230053, 0.002807647004858383]
dice coefficient: [0.5697053870436276, 0.23102355681059022]
hausdorff distance: [30.236441014144052, 18.253519335501323]

sensitivity: [0.4064178580785516, 0.30055957271418965]
specificity: [0.991691504324681, 0.002662515674936232]
dice coefficient: [0.49749782402380155, 0.2628819472192481]
hausdorff distance: [29.7650218992495, 17.21075646227859]

sensitivity: [0.43333228492180526, 0.21659507376750695]
specificity: [0.9931987421478948, 0.003882266372323085]
dice coefficient: [0.5456825853464452, 0.2156135178505477]
hausdorff distance: [17.401384842714833, 9.686337743908576]

sensitivity: [0.9370062730779336, 0.04888782625701027]
specificity: [0.9733689571908841, 0.016552166962666422]
dice coefficient: [0.8750112186778823, 0.07259149708842749]
hausdorff distance: [9.237988334107422, 5.741042722267023]

sensitivity: [0.5419871262349514, 0.2153765707170064]
specificity: [0.9939649641173668, 0.0021068618480966387]
dice coefficient: [0.6471641727870618, 0.16269608494149493]
hausdorff distance: [13.368498943162658, 7.219180655724867]

sensitivity: [0.5860060159891277, 0.20988587225157818]
specificity: [0.9951899939684838, 0.0011124170349841335]
dice coefficient: [0.6894358968546507, 0.15287108253524598]
hausdorff distance: [8.18365760426419, 4.015936779403889]

sensitivity: [0.9256708035674442, 0.02231076767191369]
specificity: [0.9936974663653714, 0.00347880420416981]
dice coefficient: [0.9316337934359341, 0.024460610180272534]
hausdorff distance: [3.9766019046448426, 2.126022254189346]

sensitivity: [0.934170330468295, 0.03896512210139232]
specificity: [0.9779723615953901, 0.013501727102530612]
dice coefficient: [0.8683012844803399, 0.06999038030220335]
hausdorff distance: [8.698739802099691, 5.160612934077366]

sensitivity: [0.5556493468865095, 0.2964773558059592]
specificity: [0.9873590796821367, 0.008065767456506688]
dice coefficient: [0.6233242978678313, 0.24811086443776748]
hausdorff distance: [27.59603467468195, 21.04975542772611]

sensitivity: [0.9744632246978167, 0.007178151166326998]
specificity: [0.9958129321723558, 0.002859854621012217]
dice coefficient: [0.9600744276334967, 0.016164659394267086]
hausdorff distance: [1.646232353782529, 0.5685528741400984]

sensitivity: [0.3188342914503462, 0.3825535810249015]
specificity: [0.9941818171508703, 0.004384254632624175]
dice coefficient: [0.35570460224377304, 0.3861832864469154]
hausdorff distance: [29.255011361308345, 26.115595154040044]

sensitivity: [0.3510671344796688, 0.27691221142931716]
specificity: [0.999709513163391, 0.0008256517605103373]
dice coefficient: [0.46317437174971776, 0.25561540420975487]
hausdorff distance: [15.899260380728643, 7.324401182289632]

sensitivity: [0.5206434989681286, 0.2715836501221852]
specificity: [0.9992525683071989, 0.0013451207322769164]
dice coefficient: [0.6353811521207509, 0.2396052255133028]
hausdorff distance: [12.140916180828844, 8.706213544939517]

sensitivity: [0.8807000880281163, 0.06097102237426044]
specificity: [0.9910014106692607, 0.0038677950006411233]
dice coefficient: [0.8980403960158571, 0.03844941647197209]
hausdorff distance: [4.61690996646763, 2.0698169874488577]

sensitivity: [0.8277947996168579, 0.06300408223427172]
specificity: [0.9892301725128533, 0.006982942785263718]
dice coefficient: [0.8653201713185553, 0.051374389899382415]
hausdorff distance: [8.755025641074925, 4.4252524625668475]

sensitivity: [0.7511808401258505, 0.12432215084324166]
specificity: [0.9777618476957244, 0.010635152512666174]
dice coefficient: [0.8023664760115903, 0.09621252331606728]
hausdorff distance: [9.312789441066595, 4.680308340236986]

sensitivity: [0.7691275070790421, 0.11127982242309256]
specificity: [0.9967637208692502, 0.0026447957670382967]
dice coefficient: [0.852753839768486, 0.06482204855114679]
hausdorff distance: [7.921095929979019, 4.182053634448408]

sensitivity: [0.9345447019457074, 0.02595308698965322]
specificity: [0.9944700562195335, 0.0019127639084857318]
dice coefficient: [0.9368934954680728, 0.014456038135500674]
hausdorff distance: [3.5180223949757536, 0.8699722764447162]

sensitivity: [0.8070144426038872, 0.12009244384104613]
specificity: [0.9957069626648528, 0.0015610242169761307]
dice coefficient: [0.8667465124881868, 0.07384878831140204]
hausdorff distance: [6.0670465831615825, 3.9188789754742412]

sensitivity: [0.9433491863494022, 0.05121001607735792]
specificity: [0.9818104052417703, 0.010089010076054694]
dice coefficient: [0.904706809673829, 0.04123470299213331]
hausdorff distance: [6.148555809723134, 2.6448556585794822]

sensitivity: [0.15132945940586578, 0.2755333414262765]
specificity: [0.9993113318262183, 0.0010547267569579926]
dice coefficient: [0.17165686361031163, 0.29590227561470683]
hausdorff distance: [18.109416949599026, 12.103865630455457]

sensitivity: [0.7892780128816603, 0.10125972333808621]
specificity: [0.9958380936812966, 0.001802355734684049]
dice coefficient: [0.8583902037368952, 0.05297901793645687]
hausdorff distance: [5.357307261751557, 2.1754521912736604]

sensitivity: [0.8006471080526388, 0.08389424833460186]
specificity: [0.9991339381496708, 0.000879590348172689]
dice coefficient: [0.877513314076829, 0.043657589735662986]
hausdorff distance: [4.304165118949633, 1.4517217233859323]

sensitivity: [0.9024306130585324, 0.04093311242155467]
specificity: [0.9910107237641006, 0.0042472247544021015]
dice coefficient: [0.9200819263802391, 0.029777458152862667]
hausdorff distance: [6.002740070930754, 3.366567733985003]

sensitivity: [0.6435856065872719, 0.19325837074914998]
specificity: [0.9968512249926527, 0.00110261146231012]
dice coefficient: [0.7411105568522945, 0.14324496504843956]
hausdorff distance: [14.678137564558767, 9.182534742790548]

sensitivity: [0.8052166490694079, 0.09197283995392823]
specificity: [0.9903359399866197, 0.002542273028586372]
dice coefficient: [0.8552327549035676, 0.05503151293424544]
hausdorff distance: [7.024878623228531, 3.388866132239536]

sensitivity: [0.5619543405689165, 0.1798313620250998]
specificity: [0.9956049460689481, 0.00353826996479119]
dice coefficient: [0.6866671164766949, 0.12209409625649953]
hausdorff distance: [18.66218149652464, 7.573395217741292]

sensitivity: [0.7788818609474435, 0.096313214489692]
specificity: [0.9899115958335064, 0.0032145658572548226]
dice coefficient: [0.8465446269236755, 0.05863373164251472]
hausdorff distance: [8.291332255253872, 3.871323128637038]

sensitivity: [0.7442219195647266, 0.15059343514681736]
specificity: [0.9686668304910583, 0.019974927965781708]
dice coefficient: [0.7614557130795069, 0.13949505114680594]
hausdorff distance: [28.34880056796986, 20.64490670901999]

sensitivity: [0.7110008752447445, 0.1773136083675953]
specificity: [0.9786068330477381, 0.013095184179424514]
dice coefficient: [0.7608261841024693, 0.14910072729981735]
hausdorff distance: [11.817581890599063, 7.337898763200886]

sensitivity: [0.9770736543960085, 0.011095625565906842]
specificity: [0.9956748680326617, 0.002153802857508602]
dice coefficient: [0.9641364692689959, 0.009878267416534022]
hausdorff distance: [2.275339157053652, 0.699641613288577]

