dice coefficient: [0.9326262131582107, 0.05451085986802803]
hausdorff distance: [2.903130521863148, 4.386171433003193]

sensitivity: [0.9575243267965924, 0.03905830094059397]
specificity: [0.9940955341136168, 0.006199910716643534]
dice coefficient: [0.9488946207367281, 0.03000642089368926]
hausdorff distance: [5.696965362505993, 9.67184499764171]

sensitivity: [0.9692659013801361, 0.020008450208229465]
specificity: [0.9980315676484849, 0.0016686081485925738]
dice coefficient: [0.9780225461732754, 0.006946450763350403]
hausdorff distance: [1.4714045207910316, 0.5492134401691032]

sensitivity: [0.9774054094314863, 0.03394428227175712]
specificity: [0.9838758737434392, 0.010792208031151317]
dice coefficient: [0.9082326567511227, 0.056918952537506465]
hausdorff distance: [11.246691635940673, 19.57324518944322]

sensitivity: [0.9066810799907823, 0.12751117891205016]
specificity: [0.991259928795387, 0.00233558769834358]
dice coefficient: [0.90126989197735, 0.07491449704005174]
hausdorff distance: [5.549874644327699, 6.258239217137291]

sensitivity: [0.9777065047739633, 0.03347104117196512]
specificity: [0.9900571836468918, 0.006723797810627392]
dice coefficient: [0.9475692764750593, 0.022784006709148933]
hausdorff distance: [6.873655025041156, 15.887716426956803]

sensitivity: [0.9814663051347481, 0.011146612603497426]
specificity: [0.9964965884877457, 0.0015592120708375577]
dice coefficient: [0.9654796122494115, 0.013726292306220685]
hausdorff distance: [1.9958148763446695, 0.5627814667891176]

sensitivity: [0.9869072783229406, 0.010423436103483386]
specificity: [0.9853713054308441, 0.008980595651178612]
dice coefficient: [0.9416399096935812, 0.027478848376194832]
hausdorff distance: [8.619895229441603, 16.522633150725397]

sensitivity: [0.9216809883510957, 0.13564687375145779]
specificity: [0.9936310032762073, 0.002701807364462506]
dice coefficient: [0.9312661457632827, 0.07670388236176683]
hausdorff distance: [4.807275081226704, 6.4928247288898415]

sensitivity: [0.6381104663317273, 0.38483586343104775]
specificity: [0.9835986375410335, 0.015385323443230714]
dice coefficient: [0.655634192318731, 0.3727387949671694]
hausdorff distance: [37.876168698699615, 24.10869507130117]

sensitivity: [0.9573237153848523, 0.0866523251519362]
specificity: [0.995617128412388, 0.002525231989305914]
dice coefficient: [0.922882400566872, 0.04502482351472613]
hausdorff distance: [2.5709784130666518, 1.7291818873517266]

sensitivity: [0.9436017372811223, 0.05042409888699007]
specificity: [0.989902567536202, 0.004330806562058354]
dice coefficient: [0.9282527621094379, 0.02447085967236439]
hausdorff distance: [11.273530002795736, 16.052233113892004]

sensitivity: [0.9732336586062523, 0.024266012430180315]
specificity: [0.9940980958247814, 0.003335087543181742]
dice coefficient: [0.9627161238106713, 0.00800356120563289]
hausdorff distance: [6.382696765574824, 5.881710238702176]

sensitivity: [0.9757346663861346, 0.021808393264018126]
specificity: [0.9837024506023508, 0.012035060318209233]
dice coefficient: [0.931363218104105, 0.04156407263392987]
hausdorff distance: [6.655400135273546, 5.190277677806284]

sensitivity: [0.9775082185295876, 0.044161677307732725]
specificity: [0.9905633648220479, 0.0025540412965941394]
dice coefficient: [0.9545941531256938, 0.023268313239999828]
hausdorff distance: [2.4009495047034544, 1.403130360728315]

sensitivity: [0.9154968107628798, 0.06713236558565054]
specificity: [0.9919347842282126, 0.00286980776276923]
dice coefficient: [0.9284488320354786, 0.03823242782248416]
hausdorff distance: [5.282520986230988, 3.048765656791152]

sensitivity: [0.995726336543841, 0.010131834526758495]
specificity: [0.9918282062464495, 0.0066666165366751256]
dice coefficient: [0.89595665821706, 0.0772244476122197]
hausdorff distance: [26.393486931298288, 31.283390389694876]

sensitivity: [0.9934749482538816, 0.005971653536542517]
specificity: [0.9915016726429821, 0.004285419923931]
dice coefficient: [0.9580356605824736, 0.019014493785510893]
hausdorff distance: [8.264773405129956, 18.453369716536592]

sensitivity: [0.9980468984290003, 0.0034471826409872954]
specificity: [0.9832883263140219, 0.010329904015337522]
dice coefficient: [0.9324734033713733, 0.03636452407173847]
hausdorff distance: [40.17741322596421, 29.758620036388038]

sensitivity: [0.9612246949735795, 0.04462238100893683]
specificity: [0.996684279362938, 0.001445659158322108]
dice coefficient: [0.9517418184135563, 0.022578807865563707]
hausdorff distance: [2.3019966474852227, 1.4494176192411885]

sensitivity: [0.9755747161901606, 0.03950750474901579]
specificity: [0.9890943776706003, 0.006057036519358135]
dice coefficient: [0.9291554111106242, 0.047054922213867374]
hausdorff distance: [3.5835145455266653, 2.427294138610348]

sensitivity: [0.9169341639473902, 0.07076407075148972]
specificity: [0.99235542307412, 0.00544447019143609]
dice coefficient: [0.9256303378603401, 0.03836757261668651]
hausdorff distance: [11.79071181371726, 16.087648935105516]

