hausdorff distance: [2.0433912495803996, 0.7008700791194606]

sensitivity: [0.9751875093610529, 0.013739995064239768]
specificity: [0.9973778343981389, 0.0020326958728556738]
dice coefficient: [0.979132418549422, 0.0041107474485346735]
hausdorff distance: [1.6508970644860392, 1.0837614509066917]

sensitivity: [0.974958239989223, 0.04218996603245358]
specificity: [0.984158150647097, 0.011475874014833165]
dice coefficient: [0.9085305224418451, 0.05358166450582499]
hausdorff distance: [8.559452358522341, 16.16175862921028]

sensitivity: [0.9554777616466418, 0.05248779599095082]
specificity: [0.9904256664059048, 0.0032687123151420813]
dice coefficient: [0.9266569697825001, 0.03802356555930481]
hausdorff distance: [3.351844797169356, 2.0079350393763695]

sensitivity: [0.9794616106982001, 0.02432905215155217]
specificity: [0.9903956310204775, 0.004836886570178576]
dice coefficient: [0.9493485837134801, 0.016550676400619774]
hausdorff distance: [2.6866526020563937, 1.2173322454710571]

sensitivity: [0.9882321091853729, 0.00601298461878266]
specificity: [0.9953260105671201, 0.002319494200091387]
dice coefficient: [0.9614954125820361, 0.014734536735219055]
hausdorff distance: [2.25255364081757, 0.7019036699620358]

sensitivity: [0.9877383129812344, 0.014808105756572132]
specificity: [0.9849496690661337, 0.005954856488197491]
dice coefficient: [0.9397413639526032, 0.020715109592598646]
hausdorff distance: [6.485533383773159, 14.511071292681919]

sensitivity: [0.9365539387801033, 0.10801411977824284]
specificity: [0.9924175619276582, 0.0019668400555118764]
dice coefficient: [0.9377208060243585, 0.0591351671103272]
hausdorff distance: [4.487937990135292, 6.412883849202875]

sensitivity: [0.8603928814572134, 0.23562232405880607]
specificity: [0.9820001996781804, 0.01693117259611897]
dice coefficient: [0.8345238013815331, 0.17932253409188303]
hausdorff distance: [37.24751497867759, 28.528745057921064]

sensitivity: [0.9751227194143823, 0.04304053080251565]
specificity: [0.9953609417144899, 0.0015767354230837014]
dice coefficient: [0.9299856182792834, 0.024519493701266666]
hausdorff distance: [2.4495444113292217, 2.449435073016996]

sensitivity: [0.9711427806052357, 0.02612125209921993]
specificity: [0.9900284644737068, 0.004751176891612321]
dice coefficient: [0.9437001821855978, 0.01820144411780065]
hausdorff distance: [8.988052789669023, 15.847657252207853]

sensitivity: [0.9478911420885758, 0.053162624510125066]
specificity: [0.9960784059025887, 0.0021294561024506713]
dice coefficient: [0.956829978441767, 0.02631584914790067]
hausdorff distance: [6.751269293199011, 5.673361401971039]

sensitivity: [0.9821668571616378, 0.017418382824854223]
specificity: [0.9820994665877871, 0.013164107523643512]
