dice coefficient: [0.9062929652312647, 0.11328396699283813]
hausdorff distance: [17.30297203007201, 25.370727730855734]

sensitivity: [0.9686140105775605, 0.04761300504173391]
specificity: [0.9958904443368018, 0.003037658868559768]
dice coefficient: [0.9339963242382123, 0.04937440979426451]
hausdorff distance: [2.3584316629886777, 2.4161539874379816]

sensitivity: [0.9355566748657658, 0.07897909964397817]
specificity: [0.9905506759973259, 0.005173240802997481]
dice coefficient: [0.9252290652580796, 0.030620563671444074]
hausdorff distance: [7.4491361296510386, 10.688484656641505]

sensitivity: [0.8973388546798702, 0.12772541886641472]
specificity: [0.9960570153900801, 0.0027291776674820177]
dice coefficient: [0.9247251430440335, 0.0706478352916758]
hausdorff distance: [11.914548855503726, 15.708071987669744]

sensitivity: [0.96631864130971, 0.026812459516928355]
specificity: [0.9863498951471071, 0.01260197919608299]
dice coefficient: [0.9355989064808017, 0.04749355770528039]
hausdorff distance: [5.715583179735929, 4.139095180775591]

sensitivity: [0.9720050357750271, 0.050713388014691614]
specificity: [0.992875366111212, 0.0020798987713559545]
dice coefficient: [0.9598121884238655, 0.026337388221216063]
hausdorff distance: [2.1902569421634097, 1.7232066602620986]

sensitivity: [0.8958343414873622, 0.07131798232073049]
specificity: [0.9932265242914855, 0.004141155705508651]
dice coefficient: [0.9215554875644211, 0.044031516026482684]
hausdorff distance: [6.469908412963354, 4.156154287463271]

sensitivity: [0.9817378045929733, 0.04643805279119816]
specificity: [0.995672238392417, 0.005337335046471955]
dice coefficient: [0.9355265425295897, 0.05921412367149844]
hausdorff distance: [3.9514387897629235, 9.08402250239894]

sensitivity: [0.9922127691122334, 0.00938836807293496]
specificity: [0.9929492769221492, 0.0018313612896127482]
dice coefficient: [0.9630994284663299, 0.012276201768699483]
hausdorff distance: [2.1916611497613996, 1.1817873770803868]

sensitivity: [0.9951603124586278, 0.006901347298568711]
specificity: [0.9877938889194594, 0.009295858632797348]
dice coefficient: [0.9469625217281982, 0.03885423568752046]
hausdorff distance: [20.59977349120857, 26.970650692513278]

sensitivity: [0.9647158958388447, 0.032795241804127885]
specificity: [0.9977842058608518, 0.0015341873735042085]
dice coefficient: [0.9629271904311715, 0.009176160578139074]
hausdorff distance: [1.7920993304026989, 0.5671977814691543]

