hausdorff distance: [2.273846708222964, 0.77219674576513]

sensitivity: [0.9742047651427869, 0.019765682565335334]
specificity: [0.9909750005587392, 0.003774487511426905]
dice coefficient: [0.9533106574926015, 0.011168497423942726]
hausdorff distance: [3.3722837252895137, 1.2494141865213515]

sensitivity: [0.944129305207725, 0.08613455348564789]
specificity: [0.9930476021485899, 0.0019358892520804692]
dice coefficient: [0.9456905656316229, 0.04819381172235578]
hausdorff distance: [3.791804930295183, 3.819539505916363]

sensitivity: [0.9463772273447314, 0.10180116509176723]
specificity: [0.990672580136619, 0.005372939779248934]
dice coefficient: [0.9278656061180204, 0.07020992858761996]
hausdorff distance: [14.67001736411488, 24.261572988367863]

sensitivity: [0.9721772823339817, 0.04866029602475138]
specificity: [0.9960001133054018, 0.0012123295138813162]
dice coefficient: [0.9355234331818466, 0.027024260259787585]
hausdorff distance: [2.004719066986533, 0.9386700498368132]

sensitivity: [0.9545186709705722, 0.04603329263983466]
specificity: [0.9884565391241051, 0.00703886632003068]
dice coefficient: [0.9279538056651736, 0.031570880136496816]
hausdorff distance: [15.50173232405135, 20.221184311346892]

sensitivity: [0.9270683405623042, 0.06859404934507744]
specificity: [0.9947680108167559, 0.0028753528588179866]
dice coefficient: [0.9400046361426425, 0.03493575635409772]
hausdorff distance: [28.26887558036466, 33.62742938071828]

sensitivity: [0.9626797175331396, 0.03987871536363646]
specificity: [0.9826773963140583, 0.015248262252255774]
dice coefficient: [0.9220583868409041, 0.06364290566313938]
hausdorff distance: [7.1516736908578915, 6.149815451390206]

sensitivity: [0.9729502594675628, 0.045187434294579484]
specificity: [0.9896918931515957, 0.001835421242040541]
dice coefficient: [0.9493972826312744, 0.025744909162493515]
hausdorff distance: [2.5634257962201046, 1.671979322222613]

sensitivity: [0.913030188366258, 0.06022902567071265]
specificity: [0.9911149811120762, 0.0029966421472177674]
dice coefficient: [0.9244625640273664, 0.03436000619548305]
hausdorff distance: [6.67414058419395, 3.7357525965212472]

sensitivity: [0.9879166410730346, 0.026736855944687752]
specificity: [0.9969287773048673, 0.0008755942807695264]
dice coefficient: [0.9508360739313683, 0.01921346142004144]
hausdorff distance: [6.4013098529680175, 18.91709717423971]

sensitivity: [0.9904976744583268, 0.01765494511621815]
specificity: [0.9904085187434553, 0.0035528321476962265]
dice coefficient: [0.9508002154512086, 0.020650345744803927]
hausdorff distance: [10.196765008911404, 23.723251253142067]

sensitivity: [0.9945852918185447, 0.009498779660295303]
specificity: [0.9872266543631479, 0.010584979334319865]
dice coefficient: [0.9433935938095969, 0.045011541884352725]
hausdorff distance: [23.025794322340523, 28.12435710361994]

