hausdorff distance: [3.2200976409364577, 1.8967440126443338]

sensitivity: [0.9845715558572846, 0.02365395754536485]
specificity: [0.9867866970316203, 0.004912730448043874]
dice coefficient: [0.9379034624824722, 0.015220345109247987]
hausdorff distance: [3.128322386751248, 1.2962506359565036]

sensitivity: [0.983252145239515, 0.013604781769492905]
specificity: [0.9952427567797263, 0.0016602725756731153]
dice coefficient: [0.9580122720230604, 0.01444802418319741]
hausdorff distance: [4.783266882716679, 13.575235710490357]

sensitivity: [0.9816010183414462, 0.026271866834992514]
specificity: [0.9759585542324487, 0.01268854593222578]
dice coefficient: [0.9085822554898975, 0.04190640155852985]
hausdorff distance: [22.72285237646665, 25.840639437598497]

sensitivity: [0.9276194661899674, 0.13168684540619138]
specificity: [0.9905496941325104, 0.002166900771708791]
dice coefficient: [0.925003193374425, 0.08014139470392145]
hausdorff distance: [5.092754780483111, 7.145897336644742]

sensitivity: [0.8503041502656973, 0.28478856958449345]
specificity: [0.9880107073397951, 0.007406696531021408]
dice coefficient: [0.8286943226139488, 0.24016033216604132]
hausdorff distance: [48.048841019724094, 26.83664338894524]

sensitivity: [0.9679729618723047, 0.04645670442017996]
specificity: [0.9951150733339008, 0.0027452432993510674]
dice coefficient: [0.9253215614954401, 0.03735461336021935]
hausdorff distance: [2.4273097279188556, 1.7911358085724522]

sensitivity: [0.9188288811665931, 0.08279415590032962]
specificity: [0.989938677298103, 0.006175871363664354]
dice coefficient: [0.9132266267833626, 0.03315541649488068]
hausdorff distance: [8.536529246971423, 15.832277212989132]

sensitivity: [0.9265689384409033, 0.08549264988364215]
specificity: [0.9936453488387361, 0.0025971594154098176]
dice coefficient: [0.9345656785107349, 0.042336126046160424]
hausdorff distance: [12.314392749693742, 17.06328606119848]

sensitivity: [0.9615987809871768, 0.04297852644814495]
specificity: [0.9837228501674551, 0.010800168391295792]
dice coefficient: [0.9239527502616428, 0.05163141476710521]
hausdorff distance: [6.354645512981332, 4.828921246442754]

sensitivity: [0.9704940855987194, 0.053662750902797145]
specificity: [0.989392018391997, 0.002636774763155111]
dice coefficient: [0.9470840795375101, 0.02826399740653394]
hausdorff distance: [2.9389051834313578, 2.2574697464492477]

sensitivity: [0.903897036697751, 0.046442645344633354]
specificity: [0.9869576943480965, 0.005237710583424589]
dice coefficient: [0.9074694545399133, 0.037783334482853266]
hausdorff distance: [7.355490597130236, 3.553883989223906]

